"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"Households","75,847","68,775","44,165"
"    One race--","","",""
"        White","84,384","72,315","67,367"
"        Black or African American","60,618","61,215","32,704"
"        American Indian and Alaska Native","65,715","45,369","60,109"
"        Asian","96,429","73,661","46,198"
"        Native Hawaiian and Other Pacific Islander","83,981","67,442","-"
"        Some other race","60,294","42,095","40,487"
"    Two or more races","71,347","54,620","46,367"
"Hispanic or Latino origin (of any race)","65,708","61,997","46,291"
"White alone, not Hispanic or Latino","85,530","72,257","69,022"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","39,265","40,193","30,383"
"    25 to 44 years","78,600","73,069","51,902"
"    45 to 64 years","91,118","85,595","47,414"
"    65 years and over","53,401","48,406","30,045"
"FAMILIES","","",""
"    Families","91,567","85,259","53,340"
"        With own children of householder under 18 years","88,869","81,004","41,287"
"        With no own children of householder under 18 years","93,142","86,598","60,338"
"        Married-couple families","110,792","101,459","82,114"
"        Female householder, no husband present","49,202","49,030","31,928"
"        Male householder, no wife present","60,827","61,595","47,714"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","46,963","45,305","31,431"
"        Female householder","42,050","41,080","30,031"
"            Living alone","37,874","36,807","24,483"
"            Not living alone","76,139","68,501","77,297"
"        Male householder","53,415","51,690","34,985"
"            Living alone","46,623","47,629","26,963"
"            Not living alone","82,586","70,219","71,180"
"PERCENT IMPUTED","","",""
"    Household income in the past 12 months","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)"
