"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"Households","71,122","62,444","39,241"
"One race--","","",""
"    White","80,097","66,604","57,386"
"    Black or African American","54,887","54,280","30,511"
"    American Indian and Alaska Native","61,344","61,646","23,565"
"    Asian","91,327","72,852","51,096"
"    Native Hawaiian and Other Pacific Islander","N","-","-"
"    Some other race","55,729","46,819","39,910"
"Two or more races","70,006","67,318","42,453"
"Hispanic or Latino origin (of any race)","58,756","53,294","44,935"
"White alone, not Hispanic or Latino","80,908","67,026","58,046"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","30,422","31,048","21,365"
"    25 to 44 years","72,761","66,402","46,581"
"    45 to 64 years","87,178","79,837","42,286"
"    65 years and over","47,949","41,494","24,815"
"FAMILIES","","",""
"    Families","85,985","78,914","47,070"
"        With own children under 18 years","82,552","76,349","36,704"
"        With no own children under 18 years","88,028","79,933","55,295"
"    Married-couple families","105,260","97,106","74,669"
"    Female householder, no husband present","45,506","45,261","30,294"
"    Male householder, no wife present","56,184","56,924","41,174"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","43,675","40,617","28,926"
"    Female householder","38,977","34,227","24,571"
"        Living alone","34,522","30,618","21,357"
"        Not living alone","76,420","64,476","65,499"
"    Male householder","50,823","46,154","34,733"
"        Living alone","44,730","41,329","28,642"
"        Not living alone","80,564","78,665","61,682"
"PERCENT IMPUTED","","",""
"    Household income in the past 12 months","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)"
