"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"Households","73,971","68,257","42,665"
"    One race--","","",""
"        White","81,915","73,086","66,262"
"        Black or African American","59,346","60,316","33,965"
"        American Indian and Alaska Native","52,889","N","N"
"        Asian","94,344","80,254","64,016"
"        Native Hawaiian and Other Pacific Islander","71,075","96,715","-"
"        Some other race","58,343","63,259","41,540"
"    Two or more races","71,686","58,638","41,560"
"Hispanic or Latino origin (of any race)","63,020","63,327","40,976"
"White alone, not Hispanic or Latino","82,846","73,700","67,682"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","33,678","29,675","20,381"
"    25 to 44 years","76,791","75,468","51,186"
"    45 to 64 years","89,892","83,715","45,433"
"    65 years and over","52,458","46,370","33,205"
"FAMILIES","","",""
"    Families","89,678","84,474","50,408"
"        With own children under 18 years","87,808","81,405","38,305"
"        With no own children under 18 years","90,716","86,602","58,845"
"        Married-couple families","108,624","102,431","76,955"
"        Female householder, no husband present","48,215","47,523","32,517"
"        Male householder, no wife present","57,095","52,138","40,563"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","46,684","41,933","32,252"
"        Female householder","41,480","40,269","27,874"
"            Living alone","36,694","35,770","22,985"
"            Not living alone","73,104","65,560","59,493"
"        Male householder","52,958","47,647","38,998"
"            Living alone","47,110","41,681","32,000"
"            Not living alone","82,577","79,802","71,962"
"PERCENT IMPUTED","","",""
"    Household income in the past 12 months","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)"
