POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location
MEDFIELD/GOVANS ELEM @ CHINQUAPIN ,898 WOODBOURNE AVE AT TUNBRIDGE,BALTIMORE,MD,21212,7,43,4,27-029,
MEDFIELD/GOVANS ELEM @ CHINQUAPIN ,899 WOODBOURNE AVE AT TUNBRIDGE,BALTIMORE,MD,21212,7,43,4,27-033,
MEDFIELD/GOVANS ELEM @ CHINQUAPIN ,900 WOODBOURNE AVE AT TUNBRIDGE,BALTIMORE,MD,21212,7,43,4,27-035,4
MONTE VERDE APARTMENTS,2503 VIOLET AVE,BALTIMORE,MD,21215,7,40,6,15-022,1
MT ROYAL RECREATION CTR,119 W MOSHER ST,BALTIMORE,MD,21217,7,40,11,14-001,
MT ROYAL RECREATION CTR,120 W MOSHER ST,BALTIMORE,MD,21217,7,40,11,14-002,2
MT WASHINGTON LOWER SCHOOL #221,5800 SMITH AVE,BALTIMORE,MD,21209,3,41,5,27-049,1
MURTY CTR-POE AUDITORIUM,206 N FREMONT AVE,BALTIMORE,MD,21201,7,40,11,04-003,1
NEW WATERS TOWER APARTMENTS,1400 E MADISON ST,BALTIMORE,MD,21205,7,45,12,10-002,1
NORTH HARFORD REC CTR,6800 HAMLET AVE,BALTIMORE,MD,21234,3,43,3,27-012,1
NORTHSIDE BAPTIST CHURCH,1100 E NORTHERN PKWY,BALTIMORE,MD,21239,3,43,4,27-032,1
NORTHWOOD APPOLD COMM ACADEMY,4417 LOCH RAVEN BLVD,BALTIMORE,MD,21218,7,43,3,27-025,1
OPEN BIBLE BAPTIST CHURCH,3902 OVERLEA AVE,BALTIMORE,MD,21206,3,45,2,27-010,1
ORCHARD RIDGE III COMMUNITY ROOM,4340 ORCHARD RIDGE BLVD,BALTIMORE,MD,21213,3,45,13,26-017,1
PARKVIEW RECREATION CENTER,2610 FRANCIS ST,BALTIMORE,MD,21217,7,40,7,13-007,1
