POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location
SCHOOL #58  ASHBURTON ELEM,3934 HILTON RD,BALTIMORE,MD,21215,7,40,6,15-004,
SCHOOL #58  ASHBURTON ELEM,3935 HILTON RD,BALTIMORE,MD,21215,7,40,6,15-005,2
SCHOOL #60 GWYNNS FALLS ELEM,2699 GWYNNS FALLS PKWY,BALTIMORE,MD,21216,7,40,7,15-006,
SCHOOL #60 GWYNNS FALLS ELEM,2700 GWYNNS FALLS PKWY,BALTIMORE,MD,21216,7,40,7,15-014,2
SCHOOL #61 DOROTHY HEIGHT ELEM,2011 LINDEN AVE,BALTIMORE,MD,21217,7,40,7,13-010,1
SCHOOL #62  EDGECOMBE CIRCLE ELEM,2835 VIRGINIA AVE,BALTIMORE,MD,21215,7,40,6,27-053,1
SCHOOL #63 ROSEMONT ELEM,2777 PRESSTMAN ST,BALTIMORE,MD,21216,7,40,9,16-011,1
SCHOOL #64 LIBERTY ELEM,3899 MAINE AVE,BALTIMORE,MD,21207,7,41,6,15-009,
SCHOOL #64 LIBERTY ELEM,3900 MAINE AVE,BALTIMORE,MD,21207,7,41,6,28-007,
SCHOOL #64 LIBERTY ELEM,3901 MAINE AVE,BALTIMORE,MD,21207,7,41,6,28-008,3
SCHOOL #67  EDGEWOOD ELEM,1900 EDGEWOOD ST,BALTIMORE,MD,21216,7,41,7,15-011,1
SCHOOL #7 CECIL ELEM,1999 CECIL AVE,BALTIMORE,MD,21218,7,45,12,09-013,
SCHOOL #7 CECIL ELEM,2000 CECIL AVE,BALTIMORE,MD,21218,7,45,12,09-014,2
SCHOOL #73 SARAH M ROACH ELEM,3433 OLD FREDERICK RD,BALTIMORE,MD,21229,7,41,8,20-007,
SCHOOL #73 SARAH M ROACH ELEM,3434 OLD FREDERICK RD,BALTIMORE,MD,21229,7,41,8,20-008,2
SCHOOL #76 F SCOTT KEY ELEM,1425 E FORT AVE,BALTIMORE,MD,21230,3,46,11,24-005,1
SCHOOL #8 CITY SPRINGS ELEM/MIDDLE,99 S CAROLINE ST,BALTIMORE,MD,21231,7,46,12,03-001,
SCHOOL #8 CITY SPRINGS ELEM/MIDDLE,100 S CAROLINE ST,BALTIMORE,MD,21231,7,46,12,03-002,2
SCHOOL #80 WEST BALTIMORE,201 NORTHBEND RD,BALTIMORE,MD,21229,7,44A,8,28-015,1
SCHOOL #83 WM PACA ELEM,199 N LAKEWOOD AVE,BALTIMORE,MD,21224,7,46,13,06-001,
SCHOOL #83 WM PACA ELEM,200 N LAKEWOOD AVE,BALTIMORE,MD,21224,7,46,13,06-005,2
SCHOOL #85 FORT WORTHINGTON ELEM,2701 E OLIVER ST,BALTIMORE,MD,21213,7,45,13,08-010,1
SCHOOL #855   SUCCESS ACADEMY,2201 PINEWOOD AVE,BALTIMORE,MD,21214,7,43,3,27-015,1
SCHOOL #86 LAKEWOOD ELEM,2625 E FEDERAL ST,BALTIMORE,MD,21213,7,45,13,08-011,1
SCHOOL #87 WINDSOR HILL ELEM,4001 ALTO RD,BALTIMORE,MD,21216,7,41,6,15-010,1
SCHOOL #88 WILDWOOD ELEMENTARY/MIDDLE,621 WILDWOOD PKWY,BALTIMORE,MD,21229,7,41,8,16-014,1
SCHOOL #95 FRANKLIN SQ ELEM,1400 W LEXINGTON ST,BALTIMORE,MD,21223,7,44A,9,19-001,1
SCHOOL #98 SAMUEL F B MORSE ELEM,424 S PULASKI ST,BALTIMORE,MD,21223,7,40,9,20-011,1
SHILOH UNITED CHURCH APOSTOLIC,2000 DRUID PARK DRIVE,BALTIMORE,MD,21211,3,40,7,13-005,1
SOLO GIBBS REC CTR,1044 LEADENHALL ST AT CROSS ST,BALTIMORE,MD,21230,3,46,11,23-002,1
SOUTH BALTIMORE LEARNING CTR,28 E OSTEND ST-ENTRANCE PATAPSCO ST,BALTIMORE,MD,21230,3,46,11,23-001,1
SOUTHEAST ANCHOR LIBRARY,3601 EASTERN AVE,BALTIMORE,MD,21224,3,46,1,26-009,1
ST BERNARDINES CHURCH HALL,614 MT HOLLY ST,BALTIMORE,MD,21229,7,41,8,16-013,1
ST DAVIDS CHURCH,4700 ROLAND AVE,BALTIMORE,MD,21210,3,41,6,27-045,1
ST HELENA COMMUNITY ASSOC,6509 COLGATE AVE,BALTIMORE,MD,21222,2,46,1,26-001,1
ST LEOS CHURCH HALL,225 S EXETER ST,BALTIMORE,MD,21202,3,46,1,03-003,1
ST MARYS CHURCH OF GOVANS,5502 YORK RD,BALTIMORE,MD,21212,3,43,4,27-039,1
ST NICHOLAS CHURCH HALL,519 S PONCA ST - REAR,BALTIMORE,MD,21224,3,46,1,26-006,
ST NICHOLAS CHURCH HALL,520 S PONCA ST - REAR,BALTIMORE,MD,21224,3,46,1,26-007,2
STEADMAN FIRE STATION,15 S EUTAW ST,BALTIMORE,MD,21201,7,40,11,04-002,1
THE ELLERSLIE,601 WYANOKE AVE,BALTIMORE,MD,21218,7,43,4,09-002,1
THE GREENMOUNT SCHOOL,501 W 30TH ST,BALTIMORE,MD,21211,7,43,14,12-003,1
THE LEAGUE FOR PEOPLE WITH DISABILITIES,1110 E COLDSPRING LANE,BALTIMORE,MD,21239,7,43,3,27-026,
THE LEAGUE FOR PEOPLE WITH DISABILITIES,1111 E COLDSPRING LANE,BALTIMORE,MD,21239,7,43,3,27-027,2
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3397 NORMAN AVENUE,BALTIMORE,MD,21213,3,45,3,08-001,
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3398 NORMAN AVENUE,BALTIMORE,MD,21213,3,45,3,08-002,
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3399 NORMAN AVENUE,BALTIMORE,MD,21213,3,45,3,08-008,
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3400 NORMAN AVENUE,BALTIMORE,MD,21213,3,45,3,08-009,4
VOTING MACHINE WAREHOUSE,301 N FRANKLINTOWN RD,BALTIMORE,MD,21223,7,44A,9,20-004,1
WAR MEMORIAL BUILDING,101 N GAY ST ENTER ON LEXINGTON,BALTIMORE,MD,21202,7,46,11,04-001,1
WAXTER CENTER,1000 CATHEDRAL ST,BALTIMORE,MD,21201,7,45,12,11-007,1
WESTSIDE SKILL CENTER,4501 EDMONDSON AVE-REAR OF BLDG-ENTER ON ATHOL AVE,BALTIMORE,MD,21229,7,44A,8,28-013,1
WOODHOME REC CTR,7310 MOYER AVE,BALTIMORE,MD,21234,3,45,3,27-011,1
WYMAN HOUSE,123 W 29TH ST,BALTIMORE,MD,21218,7,43,12,12-009,1
