,LEG02 Precinct Name,,Voting District (VTD),VTD Type,Census Population,Total Population,Adjusted One Race Alone,Adjusted White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone ,Native Hawiian Other Pacific Islander Alone,Adjusted Some Other Race Alone ,Adjusted Two or More Races,Adjusted Hispanic or Latino (Of Any Race),Adjusted Total Person 18+
2407,24043 Baltimore City Precinct 09-004,,09-004,Adj,"2,381","2,397","2,203",599,"1,525",6,63,2,8,110,84,"2,064"
2407,24043 Baltimore City Precinct 09-005,,09-005,Adj,"1,872","1,893","1,787",386,"1,387",2,7,1,4,78,28,"1,583"
2407,24043 Baltimore City Precinct 09-006,,09-006,Adj,"2,133","2,159","2,057",125,"1,912",2,17,0,1,49,53,"1,788"
2407,24043 Baltimore City Precinct 09-007,,09-007,Adj,"2,048","2,096","1,936",176,"1,732",4,12,0,12,91,69,"1,633"
2407,24043 Baltimore City Precinct 09-008,,09-008,Adj,"1,430","1,466","1,386",24,"1,333",1,11,0,17,46,34,"1,150"
2407,24043 Baltimore City Precinct 09-009,,09-009,Adj,"1,142","1,164","1,044",124,896,3,12,1,8,49,71,882
2407,24043 Baltimore City Precinct 09-010,,09-010,Adj,"1,644","1,666","1,466",282,"1,131",6,40,0,7,57,143,"1,293"
2407,24043 Baltimore City Precinct 09-011,,09-011,Adj,437,449,416,8,392,0,6,0,10,11,22,331
2407,24043 Baltimore City Precinct 09-012,,09-012,Adj,"1,814","1,856","1,753",39,"1,698",6,7,0,3,59,44,"1,431"
2407,24045 Baltimore City Precinct 09-013,,09-013,Adj,658,679,639,18,609,6,3,0,3,12,28,527
2407,24043 Baltimore City Precinct 09-014,,09-014,Adj,"1,660","1,724","1,640",62,"1,562",2,4,0,10,45,39,"1,337"
2407,24045 Baltimore City Precinct 09-015,,09-015,Adj,"2,405","2,455","2,380",31,"2,324",10,0,0,15,27,48,"1,815"
2407,24045 Baltimore City Precinct 10-001,,10-001,Adj,"1,219","1,239","1,182",18,"1,154",0,5,0,5,30,27,978
2407,24045 Baltimore City Precinct 10-002,,10-002,Adj,"1,461","1,495","1,441",19,"1,414",6,0,0,2,35,19,"1,119"
2407,24046 Baltimore City Precinct 10-003,,10-003,Adj,"3,339","1,229","1,180",80,"1,098",3,1,-1,-1,23,26,937
2407,24045 Baltimore City Precinct 10-004,,10-004,Adj,715,733,703,17,676,5,4,0,1,20,10,622
2407,24045 Baltimore City Precinct 11-001,,11-001,Adj,"2,212","2,215","1,933","1,207",469,9,239,0,9,99,183,"2,111"
2407,24045 Baltimore City Precinct 11-002,,11-002,Adj,760,762,637,241,285,1,106,0,4,54,71,725
2407,24040 Baltimore City Precinct 11-003,,11-003,Adj,"2,329","2,334","2,089","1,062",740,0,272,0,15,98,147,"2,138"
2407,24044 Baltimore City Precinct 11-004,,11-004,Unadj,126,126,99,4,95,0,0,0,0,18,9,91
2407,24040 Baltimore City Precinct 11-005,,11-005,Adj,"2,233","2,260","2,065",752,"1,193",5,99,0,16,105,90,"1,904"
2407,24040 Baltimore City Precinct 11-006,,11-006,Adj,"3,450","3,478","3,111","1,513","1,168",4,416,2,8,152,215,"3,339"
