,LEG02 Precinct Name,,Voting District (VTD),VTD Type,Census Population,Total Population,Adjusted One Race Alone,Adjusted White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone ,Native Hawiian Other Pacific Islander Alone,Adjusted Some Other Race Alone ,Adjusted Two or More Races,Adjusted Hispanic or Latino (Of Any Race),Adjusted Total Person 18+
2407,24040 Baltimore City Precinct 25-018,,25-018,Unadj,532,532,484,167,306,0,8,0,3,26,22,469
2402,24046 Baltimore City Precinct 26-001,,26-001,Adj,668,675,466,338,107,7,12,0,2,34,175,512
2402,24046 Baltimore City Precinct 26-002,,26-002,Adj,"3,568","3,603","1,999",700,"1,205",17,47,2,28,121,"1,483","2,578"
2402,24046 Baltimore City Precinct 26-003,,26-003,Adj,"2,839","2,860","1,449",997,395,15,28,0,14,76,"1,335","2,142"
2402,24046 Baltimore City Precinct 26-004,,26-004,Adj,"2,660","2,672","1,177",792,284,4,78,0,19,47,"1,448","1,925"
2403,24046 Baltimore City Precinct 26-005,,26-005,Adj,"1,203","1,210",652,436,157,4,48,0,7,33,525,940
2403,24046 Baltimore City Precinct 26-006,,26-006,Adj,"1,999","2,004",893,745,99,1,36,0,12,62,"1,049","1,448"
2403,24046 Baltimore City Precinct 26-007,,26-007,Adj,"2,865","2,873","1,685","1,277",256,6,137,1,8,99,"1,089","2,252"
2403,24046 Baltimore City Precinct 26-008,,26-008,Adj,"1,946","1,947","1,804","1,491",124,5,174,0,10,52,91,"1,812"
2403,24046 Baltimore City Precinct 26-009,,26-009,Adj,"3,701","3,705","3,222","2,908",134,17,154,1,8,155,328,"3,284"
2403,24046 Baltimore City Precinct 26-010,,26-010,Adj,"4,727","4,757","2,160","1,312",688,21,126,0,13,105,"2,492","3,562"
2403,24046 Baltimore City Precinct 26-011,,26-011,Adj,"2,638","2,660","1,034",653,304,16,43,0,18,90,"1,536","1,925"
2407,24046 Baltimore City Precinct 26-012,,26-012,Adj,"1,179","1,197",637,83,490,6,54,0,4,36,524,871
2403,24045 Baltimore City Precinct 26-013,,26-013,Adj,"1,795","1,799",986,865,95,2,12,1,11,67,746,"1,299"
2403,24045 Baltimore City Precinct 26-014,,26-014,Adj,"2,365","2,380","1,043",772,208,8,37,0,18,98,"1,239","1,666"
2402,24045 Baltimore City Precinct 26-015,,26-015,Adj,"2,473","2,499","2,347",88,"2,191",9,45,0,14,67,85,"1,862"
2402,24045 Baltimore City Precinct 26-016,,26-016,Adj,"1,717","1,744","1,673",33,"1,613",1,17,0,9,43,28,"1,230"
2403,24045 Baltimore City Precinct 26-017,,26-017,Adj,"1,038","1,050",977,44,926,3,2,1,1,37,36,744
2403,24045 Baltimore City Precinct 26-018,,26-018,Adj,"1,419","1,442","1,383",51,"1,316",7,0,0,9,31,28,"1,121"
2407,24045 Baltimore City Precinct 26-019,,26-019,Adj,"1,814","1,843","1,762",49,"1,690",7,3,0,13,43,38,"1,430"
2407,24045 Baltimore City Precinct 26-020,,26-020,Adj,"1,053","1,067","1,008",45,956,0,3,2,2,32,27,802
2403,24045 Baltimore City Precinct 26-021,,26-021,Adj,"1,332","1,354","1,266",52,"1,198",4,7,1,4,48,40,983
2402,24045 Baltimore City Precinct 26-022,,26-022,Adj,"1,064","1,074","1,011",50,943,5,13,0,0,29,34,798
2402,24045 Baltimore City Precinct 26-023,,26-023,Adj,"1,717","1,734","1,670",108,"1,552",1,1,0,8,28,36,"1,326"
2402,24045 Baltimore City Precinct 26-024,,26-024,Adj,"3,068","3,114","2,967",164,"2,720",2,68,1,12,74,73,"2,490"
2402,24045 Baltimore City Precinct 26-025,,26-025,Adj,"2,812","2,834","2,683",115,"2,470",7,87,0,4,59,92,"2,249"
2402,24045 Baltimore City Precinct 26-026,,26-026,Adj,"2,403","2,443","2,258",340,"1,874",16,11,0,17,83,102,"1,919"
2402,24045 Baltimore City Precinct 26-027,,26-027,Adj,"1,866","1,881","1,765",223,"1,504",5,14,1,18,68,48,"1,513"
2402,24045 Baltimore City Precinct 26-028,,26-028,Adj,"1,355","1,371","1,280",74,"1,182",1,13,2,8,58,33,"1,099"
2402,24045 Baltimore City Precinct 26-029,,26-029,Adj,"5,629","5,686","5,422",420,"4,948",12,10,1,31,122,142,"4,412"
2402,24045 Baltimore City Precinct 26-030,,26-030,Adj,"1,251","1,261","1,183",289,880,2,7,0,5,26,52,"1,024"
2402,24045 Baltimore City Precinct 26-031,,26-031,Adj,"1,151","1,156","1,013",398,576,4,33,1,1,89,54,868
2402,24045 Baltimore City Precinct 26-032,,26-032,Adj,"2,215","2,257","2,163",110,"2,040",1,2,0,10,56,38,"1,740"
2402,24045 Baltimore City Precinct 26-033,,26-033,Adj,"2,014","2,047","1,973",93,"1,870",5,3,0,2,45,29,"1,626"
2402,24045 Baltimore City Precinct 27-001,,27-001,Adj,"2,891","2,911","2,674",579,"2,036",10,22,0,27,123,114,"2,291"
2403,24045 Baltimore City Precinct 27-002,,27-002,Unadj,662,662,576,410,155,1,10,0,0,41,45,538
2403,24045 Baltimore City Precinct 27-003,,27-003,Adj,804,805,730,323,387,4,13,0,3,39,36,644
2403,24045 Baltimore City Precinct 27-004,,27-004,Adj,686,691,627,291,308,1,22,0,5,33,31,558
2403,24045 Baltimore City Precinct 27-005,,27-005,Adj,"3,090","3,105","2,895","1,158","1,642",20,46,4,25,127,83,"2,465"
2402,24045 Baltimore City Precinct 27-006,,27-006,Adj,"4,138","4,193","3,916",676,"3,161",11,39,0,29,123,154,"3,295"
2402,24045 Baltimore City Precinct 27-007,,27-007,Adj,"1,862","1,880","1,782",319,"1,434",3,19,2,5,55,43,"1,473"
2402,24045 Baltimore City Precinct 27-008,,27-008,Adj,"3,555","3,578","3,305","1,015","2,212",9,33,2,34,140,133,"2,846"
2403,24045 Baltimore City Precinct 27-009,,27-009,Adj,"1,904","1,912","1,720",717,956,12,18,0,17,89,103,"1,495"
2403,24045 Baltimore City Precinct 27-010,,27-010,Adj,"1,021","1,026",930,534,370,1,16,3,6,53,43,806
2403,24045 Baltimore City Precinct 27-011,,27-011,Adj,"3,228","3,246","2,916","1,374","1,452",4,70,2,14,121,209,"2,622"
2403,24043 Baltimore City Precinct 27-012,,27-012,Adj,858,859,758,430,309,0,14,0,5,50,51,714
2403,24043 Baltimore City Precinct 27-013,,27-013,Adj,"4,573","4,609","4,218",803,"3,320",9,46,1,39,159,232,"3,540"
2407,24045 Baltimore City Precinct 27-014,,27-014,Adj,"3,309","3,325","3,023","1,336","1,639",10,20,0,18,163,139,"2,712"
2407,24043 Baltimore City Precinct 27-015,,27-015,Adj,"2,965","2,993","2,806",337,"2,419",11,22,1,16,105,82,"2,336"
2407,24043 Baltimore City Precinct 27-016,,27-016,Adj,983,985,923,387,516,5,9,1,5,35,27,788
2407,24043 Baltimore City Precinct 27-017,,27-017,Adj,"1,471","1,479","1,389",374,970,4,23,1,17,41,49,"1,197"
2407,24043 Baltimore City Precinct 27-018,,27-018,Adj,"3,705","3,713","3,312","1,314","1,205",9,755,3,26,228,173,"3,337"
2407,24043 Baltimore City Precinct 27-019,,27-019,Adj,960,978,937,52,874,0,6,1,4,28,13,768
2403,24043 Baltimore City Precinct 27-020,,27-020,Adj,"3,126","3,144","2,989",273,"2,619",6,77,2,12,63,92,"2,560"
2407,24043 Baltimore City Precinct 27-021,,27-021,Adj,"3,199","3,231","3,101",145,"2,879",1,47,4,25,74,56,"2,625"
2407,24043 Baltimore City Precinct 27-022,,27-022,Adj,"2,917","2,960","2,834",97,"2,710",1,15,1,10,81,45,"2,392"
2407,24043 Baltimore City Precinct 27-023,,27-023,Adj,656,663,647,25,608,0,5,2,7,11,5,541
2407,24043 Baltimore City Precinct 27-024,,27-024,Adj,639,645,614,13,592,3,0,0,6,19,12,553
2407,24043 Baltimore City Precinct 27-025,,27-025,Adj,"1,516","1,530","1,458",57,"1,386",0,10,0,5,40,32,"1,252"
2407,24043 Baltimore City Precinct 27-026,,27-026,Adj,"1,478","1,491","1,393",275,"1,061",0,39,0,18,50,48,"1,298"
2407,24043 Baltimore City Precinct 27-027,,27-027,Adj,"2,179","2,194","2,105",54,"2,033",3,3,0,12,66,23,"1,750"
2407,24043 Baltimore City Precinct 27-028,,27-028,Adj,"1,541","1,557","1,495",36,"1,442",4,6,0,7,43,19,"1,228"
2407,24043 Baltimore City Precinct 27-029,,27-029,Adj,"1,112","1,122","1,080",37,"1,030",1,4,0,8,23,19,918
2407,24043 Baltimore City Precinct 27-030,,27-030,Adj,"1,896","1,909","1,780",44,"1,720",0,7,0,9,59,70,"1,543"
2407,24043 Baltimore City Precinct 27-031,,27-031,Adj,"2,935","2,966","2,820",103,"2,664",9,27,0,17,75,71,"2,316"
2403,24043 Baltimore City Precinct 27-032,,27-032,Adj,"3,266","3,285","2,997","1,008","1,872",5,97,0,15,113,175,"2,732"
2407,24043 Baltimore City Precinct 27-033,,27-033,Adj,"2,817","2,840","2,595",577,"1,962",2,39,2,13,133,112,"2,319"
2407,24043 Baltimore City Precinct 27-034,,27-034,Adj,"1,940","1,957","1,834",114,"1,686",2,22,1,9,80,43,"1,540"
2407,24043 Baltimore City Precinct 27-035,,27-035,Adj,"4,000","4,053","3,829",151,"3,641",8,5,0,24,116,108,"3,111"
2407,24043 Baltimore City Precinct 27-036,,27-036,Adj,"1,242","1,260","1,199",48,"1,129",2,3,0,17,41,20,950
2403,24043 Baltimore City Precinct 27-037,,27-037,Adj,839,841,787,562,183,0,36,0,6,25,29,637
2403,24043 Baltimore City Precinct 27-038,,27-038,Adj,"2,578","2,583","2,259","1,082",729,1,434,1,12,132,192,"2,321"
2403,24043 Baltimore City Precinct 27-039,,27-039,Adj,"1,001","1,003",901,789,77,2,31,0,2,48,54,786
2403,24043 Baltimore City Precinct 27-040,,27-040,Unadj,"1,920","1,920","1,744","1,498",163,0,76,0,7,89,87,"1,469"
2403,24043 Baltimore City Precinct 27-041,,27-041,Adj,"2,457","2,461","2,253","1,771",381,4,75,0,22,100,108,"1,892"
2403,24041 Baltimore City Precinct 27-042,,27-042,Unadj,"2,120","2,120","1,963","1,570",294,0,83,0,16,75,82,"1,674"
2403,24041 Baltimore City Precinct 27-043,,27-043,Adj,897,898,822,681,91,1,46,0,3,31,45,848
2403,24041 Baltimore City Precinct 27-044,,27-044,Unadj,"1,497","1,497","1,378","1,259",56,2,52,0,9,72,47,"1,181"
2403,24041 Baltimore City Precinct 27-045,,27-045,Unadj,"4,974","4,974","4,315","2,789",357,0,"1,156",1,12,249,410,"4,533"
2403,24041 Baltimore City Precinct 27-046,,27-046,Unadj,"1,110","1,110",994,851,76,0,59,0,8,70,46,883
2403,24041 Baltimore City Precinct 27-047,,27-047,Adj,"1,785","1,790","1,613","1,004",348,5,249,1,6,77,100,"1,549"
2407,24041 Baltimore City Precinct 27-048,,27-048,Adj,"1,194","1,198","1,105",248,800,3,49,0,5,56,37,"1,039"
2403,24041 Baltimore City Precinct 27-049,,27-049,Adj,"3,929","3,930","3,600","2,882",502,5,159,0,52,197,133,"3,021"
2403,24041 Baltimore City Precinct 27-050,,27-050,Adj,"1,414","1,417","1,273",823,399,1,33,0,17,66,78,"1,129"
2407,24041 Baltimore City Precinct 27-051,,27-051,Adj,389,391,376,99,274,0,2,0,1,11,4,376
2407,24041 Baltimore City Precinct 27-052,,27-052,Adj,"3,577","3,630","3,427",96,"3,284",10,15,2,20,91,112,"2,907"
2407,24040 Baltimore City Precinct 27-053,,27-053,Adj,"2,158","2,192","2,095",80,"2,002",8,1,0,4,35,62,"1,679"
2407,24040 Baltimore City Precinct 27-054,,27-054,Adj,658,673,643,28,610,1,1,1,2,19,11,521
2407,24041 Baltimore City Precinct 27-055,,27-055,Adj,"1,048","1,070","1,038",13,"1,018",2,4,0,1,20,12,812
2407,24041 Baltimore City Precinct 27-056,,27-056,Adj,"1,151","1,187","1,128",13,"1,098",4,6,0,7,27,32,955
2407,24041 Baltimore City Precinct 27-057,,27-057,Adj,"2,654","2,687","2,560",51,"2,474",7,27,1,0,72,55,"2,252"
2407,24041 Baltimore City Precinct 27-058,,27-058,Adj,793,809,772,17,744,3,2,0,6,20,17,644
2407,24041 Baltimore City Precinct 27-059,,27-059,Adj,"1,165","1,180","1,099",37,"1,050",1,5,0,6,34,47,967
2407,24041 Baltimore City Precinct 27-060,,27-060,Adj,"1,989","2,000","1,854",369,"1,457",0,18,0,10,57,89,"1,599"
2403,24041 Baltimore City Precinct 27-061,,27-061,Adj,"1,067","1,071",978,213,733,0,20,0,12,36,57,834
2403,24041 Baltimore City Precinct 27-062,,27-062,Adj,"3,039","3,059","2,796","1,540","1,163",7,33,0,53,59,204,"2,357"
2403,24041 Baltimore City Precinct 27-063,,27-063,Adj,"2,614","2,616","2,467","1,313","1,053",2,42,1,56,67,82,"1,881"
2403,24041 Baltimore City Precinct 27-064,,27-064,Adj,"2,604","2,607","2,424","1,823",445,1,71,0,84,96,87,"1,835"
2403,24041 Baltimore City Precinct 27-065,,27-065,Adj,"4,681","4,686","4,443","3,127","1,143",3,114,0,56,115,128,"3,477"
2403,24041 Baltimore City Precinct 27-066,,27-066,Adj,"3,451","3,452","3,152","2,449",636,0,23,0,44,111,189,"2,484"
2403,24041 Baltimore City Precinct 27-067,,27-067,Adj,"3,991","4,007","2,975","1,169","1,686",8,38,0,74,98,934,"2,977"
2407,24041 Baltimore City Precinct 28-001,,28-001,Adj,"1,992","2,006","1,651",108,"1,513",1,24,0,5,45,310,"1,601"
2407,24041 Baltimore City Precinct 28-002,,28-002,Adj,"2,754","2,779","2,582",73,"2,461",13,14,1,20,94,103,"2,353"
2407,24041 Baltimore City Precinct 28-003,,28-003,Adj,515,529,485,12,464,2,5,0,2,20,24,453
2407,24041 Baltimore City Precinct 28-004,,28-004,Adj,959,966,904,18,875,4,3,3,1,26,36,791
2407,24041 Baltimore City Precinct 28-005,,28-005,Adj,"2,128","2,141","2,016",33,"1,961",3,6,1,12,46,79,"1,705"
2407,24041 Baltimore City Precinct 28-006,,28-006,Adj,"3,088","3,118","2,931",77,"2,784",6,16,3,45,83,104,"2,479"
2407,24041 Baltimore City Precinct 28-007,,28-007,Adj,"1,473","1,488","1,424",48,"1,328",6,9,0,33,33,31,"1,206"
2407,24041 Baltimore City Precinct 28-008,,28-008,Adj,"2,096","2,121","2,011",75,"1,899",2,10,0,25,63,47,"1,683"
2407,24041 Baltimore City Precinct 28-009,,28-009,Adj,"3,080","3,105","2,858",399,"2,392",8,48,0,11,123,124,"2,478"
2407,24041 Baltimore City Precinct 28-010,,28-010,Adj,"2,587","2,604","2,434",248,"2,144",5,21,0,16,107,63,"2,125"
2407,24041 Baltimore City Precinct 28-011,,28-011,Adj,"2,283","2,302","2,185",204,"1,963",2,7,0,9,48,69,"1,869"
2407,24041 Baltimore City Precinct 28-012,,28-012,Adj,"2,050","2,067","1,889",350,"1,460",13,47,0,19,106,72,"1,725"
2407,24044 Baltimore City Precinct 28-013,,28-013,Adj,"1,982","2,004","1,910",89,"1,799",4,10,0,8,62,32,"1,575"
2407,24044 Baltimore City Precinct 28-014,,28-014,Adj,889,901,848,61,773,0,4,0,10,29,24,710
2407,24041 Baltimore City Precinct 28-015,,28-015,Adj,"2,603","2,612","2,384",717,"1,619",4,36,2,6,94,134,"2,082"
