"",TOTAL
PRECINCT 27037,1864
PRECINCT 27038,253
PRECINCT 27039,439
PRECINCT 27040,2201
PRECINCT 27041,1224
PRECINCT 27042,1718
PRECINCT 27043,796
PRECINCT 27044,1194
PRECINCT 27045,1761
PRECINCT 27046,735
PRECINCT 27047,1274
PRECINCT 27048,1011
PRECINCT 27049,3053
PRECINCT 27050,1169
PRECINCT 27051,198
PRECINCT 27052,2494
"",TOTAL
PRECINCT 27053,1503
PRECINCT 27054,850
PRECINCT 27055,358
PRECINCT 27056,905
PRECINCT 27057,1879
PRECINCT 27058,637
PRECINCT 27059,886
PRECINCT 27060,1563
PRECINCT 27061,745
PRECINCT 27062,1899
PRECINCT 27063,1942
PRECINCT 27064,1898
PRECINCT 27065,2974
PRECINCT 27066,2473
PRECINCT 27067,2041
PRECINCT 27069,141
PRECINCT 28001,1239
PRECINCT 28002,2051
PRECINCT 28003,445
PRECINCT 28004,672
PRECINCT 28005,1588
PRECINCT 28006,2363
PRECINCT 28007,1145
PRECINCT 28008,1475
PRECINCT 28009,1905
PRECINCT 28010,1932
PRECINCT 28011,1924
PRECINCT 28012,1411
PRECINCT 28013,1349
PRECINCT 28014,564
PRECINCT 28015,1737
