precinct,Dem,Rep,grn,lib,wcp,bar,Una,others,total
27-046,633,81,0,0,0,0,112,6,832
,,,,,,,,,
27-047,821,108,3,3,0,3,198,11,1147
CENTER,,,,,,,,,
27-049,2273,261,3,7,0,0,355,26,2925
LOWER,,,,,,,,,
27-050,989,42,3,2,0,0,100,10,1146
,,,,,,,,,
27-062,1370,272,3,3,2,0,255,7,1912
HIGH,,,,,,,,,
27-063,1424,227,2,1,0,0,226,15,1895
@NORTHWESTERN (GYM),,,,,,,,,
27-064,1222,317,3,3,0,0,258,2,1805
,,,,,,,,,
27-065,1946,585,0,4,1,0,433,14,2983
@NORTHWESTERN (GYM),,,,,,,,,
27-066,1571,432,2,4,0,1,327,17,2354
HIGH,,,,,,,,,
27-067,1599,205,2,2,0,0,288,24,2120
,,,,,,,,,
District Total :,77269,15836,218,369,16,30,18811,813,113362
ONGRESSIONAL DISTRICT 7,,,,,,,,,
03-001,1041,82,1,2,0,0,186,14,1326
ELEM/MIDDLE,,,,,,,,,
03-002,504,69,2,2,0,0,134,39,750
ELEM/MIDDLE,,,,,,,,,
04-001,805,123,1,4,0,1,281,15,1230
,,,,,,,,,
,,,,,,,,,
04-002,1630,205,10,8,0,1,526,21,2401
,,,,,,,,,
04-003,458,12,0,0,0,0,54,4,528
,,,,,,,,,
05-001,1076,71,2,2,1,0,149,11,1312
APARTMENTS,,,,,,,,,
05-002,104,3,0,0,0,0,15,2,124
SCH,,,,,,,,,
,,,,,,,,,
06-001,969,58,5,1,0,0,141,24,1198
,,,,,,,,,
06-002,590,41,1,0,0,0,99,8,739
COMMODORE ELEM,,,,,,,,,
06-003,377,23,0,0,0,1,50,3,454
COMMODORE ELEM,,,,,,,,,
06-004,843,87,4,1,0,0,213,2,1150
COMMODORE ELEM,,,,,,,,,
07-001,885,40,3,1,0,0,104,12,1045
SCH,,,,,,,,,
,,,,,,,,,
07-002,219,16,1,1,0,0,42,0,279
ELEM,,,,,,,,,
,,,,,,,,,
07-003,1727,80,7,2,2,0,234,24,2076
ELEM,,,,,,,,,
,,,,,,,,,
07-004,1629,80,2,0,2,0,234,14,1961
,,,,,,,,,
08-002,1175,52,7,2,0,0,137,14,1387
CENTER FOR THE ARTS,,,,,,,,,
08-003,1359,71,5,1,0,0,179,16,1631
,,,,,,,,,
08-004,328,19,1,1,0,0,43,4,396
PRIMARY,,,,,,,,,
,,,,,,,,,
08-005,1291,52,2,2,0,0,139,11,1497
PRIMARY,,,,,,,,,
,,,,,,,,,
08-006,1742,75,4,4,0,0,197,19,2041
HARRIS SR ELEM,,,,,,,,,
08-007,1228,40,1,2,0,1,108,7,1387
CENTER,,,,,,,,,
08-010,2393,78,4,0,1,1,199,14,2690
ELEM,,,,,,,,,
08-011,382,21,2,2,0,0,46,3,456
,,,,,,,,,
09-001,560,27,2,2,0,0,73,4,668
,,,,,,,,,
09-002,777,36,5,3,0,1,118,1,941
,,,,,,,,,
09-003,1067,47,3,3,2,1,125,12,1260
,,,,,,,,,
,,,,,,,,,
09-004,1794,75,2,2,2,0,194,9,2078
,,,,,,,,,
,,,,,,,,,
09-005,1383,69,4,2,0,0,146,13,1617
,,,,,,,,,
,,,,,,,,,
09-006,1655,58,3,2,0,0,164,13,1895
,,,,,,,,,
,,,,,,,,,
09-007,1454,65,7,4,0,0,170,11,1711
,,,,,,,,,
09-008,1044,34,2,0,0,0,119,16,1215
SPACE,,,,,,,,,
09-009,664,33,3,1,0,0,103,5,809
,,,,,,,,,
09-010,983,37,5,1,2,0,115,8,1151
,,,,,,,,,
09-011,243,12,0,0,0,0,26,2,283
,,,,,,,,,
09-012,1164,46,1,1,0,0,131,8,1351
SPACE,,,,,,,,,
09-013,407,22,1,1,0,0,39,7,477
,,,,,,,,,
09-014,1124,51,3,4,0,0,147,13,1342
,,,,,,,,,
09-015,1352,56,2,1,0,0,160,21,1592
CENTER,,,,,,,,,
10-001,888,30,2,1,0,0,73,12,1006
,,,,,,,,,
10-002,949,29,0,2,0,0,83,6,1069
,,,,,,,,,
10-003,478,23,2,1,0,0,79,8,591
,,,,,,,,,
10-004,512,23,1,1,0,1,54,5,597
,,,,,,,,,
11-001,1080,73,4,0,2,2,256,11,1428
,,,,,,,,,
11-002,358,18,1,1,0,2,64,4,448
,,,,,,,,,
11-003,1129,78,6,2,1,0,199,7,1422
,,,,,,,,,
11-004,65,6,0,0,0,0,6,2,79
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11-005,1179,55,3,2,0,1,182,15,1437
,,,,,,,,,
11-006,1774,158,3,6,0,0,386,15,2342
CENTRAL BRANCH,,,,,,,,,
11-007,1013,72,4,7,1,1,238,11,1347
,,,,,,,,,
12-002,184,34,1,2,0,0,26,1,248
,,,,,,,,,
12-003,485,33,3,2,0,0,117,2,642
,,,,,,,,,
12-004,985,87,5,8,0,0,300,6,1391
WAVERLY BRANCH,,,,,,,,,
12-005,851,42,12,3,0,0,166,5,1079
WAVERLY BRANCH,,,,,,,,,
12-006,610,39,5,0,0,1,138,4,797
,,,,,,,,,
12-007,1185,44,5,3,1,4,166,7,1415
,,,,,,,,,
12-008,1037,56,9,3,1,0,190,11,1307
,,,,,,,,,
12-009,1306,135,8,1,0,1,287,21,1759
,,,,,,,,,
12-010,1210,80,4,3,0,1,211,13,1522
,,,,,,,,,
12-011,790,35,3,1,0,0,115,11,955
SR ELEM,,,,,,,,,
12-012,1274,43,3,7,0,2,231,9,1569
CHARTER SCH 336,,,,,,,,,
13-006,477,15,0,2,0,0,78,3,575
,,,,,,,,,
13-007,1113,39,1,3,0,0,144,15,1315
,,,,,,,,,
13-008,1349,52,3,3,0,1,168,14,1590
,,,,,,,,,
13-009,949,28,3,3,1,0,118,9,1111
,,,,,,,,,
,,,,,,,,,
13-010,1182,48,1,3,0,1,171,11,1417
ELEM,,,,,,,,,
13-011,1479,181,11,7,0,1,340,13,2032
,,,,,,,,,
13-013,74,9,1,1,0,0,10,0,95
,,,,,,,,,
14-001,700,36,1,1,1,0,129,5,873
,,,,,,,,,
14-002,693,23,2,2,0,0,98,6,824
,,,,,,,,,
14-003,641,25,1,1,0,0,86,9,763
,,,,,,,,,
14-004,1860,91,4,3,0,0,217,23,2198
ELEM,,,,,,,,,
14-005,362,20,0,0,0,0,39,0,421
PENNSYLVANIA AVE BRANCH,,,,,,,,,
15-001,1233,43,2,1,0,0,117,11,1407
JR/SR,,,,,,,,,
15-002,740,27,1,1,0,0,72,5,846
SENIORÊ HIGH,,,,,,,,,
,,,,,,,,,
15-003,2005,63,0,4,0,0,197,8,2277
,,,,,,,,,
15-004,643,26,1,1,0,0,64,6,741
,,,,,,,,,
15-005,1065,31,1,1,1,0,110,6,1215
,,,,,,,,,
15-006,1466,41,1,0,0,0,132,19,1659
,,,,,,,,,
,,,,,,,,,
15-007,1164,45,0,4,0,1,125,14,1353
,,,,,,,,,
15-008,574,17,0,1,0,0,66,5,663
,,,,,,,,,
15-009,2146,69,4,6,1,1,230,17,2474
,,,,,,,,,
15-010,1126,55,1,3,0,0,129,12,1326
,,,,,,,,,
15-011,1020,38,2,1,1,1,153,14,1230
,,,,,,,,,
15-012,236,6,1,1,0,0,35,3,282
WALBROOK BRANCH,,,,,,,,,
15-013,635,26,1,2,0,0,62,3,729
WALBROOK BRANCH,,,,,,,,,
15-014,1119,27,0,3,0,0,109,6,1264
,,,,,,,,,
,,,,,,,,,
15-015,636,21,1,0,0,1,69,2,730
HIGH,,,,,,,,,
15-016,607,18,2,1,0,0,63,3,694
HIGH,,,,,,,,,
15-017,1246,51,1,1,0,1,158,11,1469
ELEM,,,,,,,,,
15-018,2162,85,6,1,1,0,235,22,2512
CENTER,,,,,,,,,
15-019,65,3,0,0,0,0,7,0,75
WINCHESTER ACHIEVEMENT ACAD,,,,,,,,,
15-020,1890,72,1,4,0,0,234,18,2219
DOUGLAS,,,,,,,,,
,,,,,,,,,
15-021,895,31,2,3,0,0,91,7,1029
,,,,,,,,,
15-022,983,44,1,2,1,0,123,13,1167
,,,,,,,,,
15-023,1389,52,3,3,0,0,145,7,1599
JR ELEM,,,,,,,,,
15-024,1492,57,4,2,0,0,149,13,1717
SCH #384,,,,,,,,,
15-025,646,33,2,0,1,0,86,1,769
SCH #384,,,,,,,,,
16-001,615,24,2,1,0,0,62,9,713
,,,,,,,,,
16-002,941,43,1,2,0,0,94,7,1088
,,,,,,,,,
16-003,650,22,1,4,0,0,73,7,757
,,,,,,,,,
16-004,410,30,0,0,1,0,64,6,511
,,,,,,,,,
16-005,1337,63,0,1,0,0,157,14,1572
CENTER,,,,,,,,,
16-006,1283,49,3,2,0,0,116,8,1461
ACAD,,,,,,,,,
16-007,1124,35,0,1,0,0,105,5,1270
SCH 262,,,,,,,,,
16-008,718,35,0,0,1,0,73,8,835
SCH 262,,,,,,,,,
16-009,1119,51,1,0,2,0,115,9,1297
,,,,,,,,,
16-010,695,20,0,1,0,0,80,4,800
ACAD,,,,,,,,,
16-011,542,27,0,1,0,1,62,4,637
,,,,,,,,,
16-012,1272,51,0,1,0,0,129,20,1473
,,,,,,,,,
16-013,1372,43,1,0,0,1,127,15,1559
,,,,,,,,,
16-014,2483,78,1,4,0,2,211,24,2803
ELEM/MIDDLE,,,,,,,,,
17-001,135,7,1,1,0,0,22,3,169
TAYLOR ELEM,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
17-002,2119,94,2,6,4,1,270,24,2520
TAYLOR ELEM,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
18-001,761,38,1,0,0,1,84,10,895
ALTERNATIVE HIGH,,,,,,,,,
18-002,1310,101,12,5,0,0,242,11,1681
,,,,,,,,,
19-001,987,36,1,0,0,0,118,6,1148
,,,,,,,,,
19-002,1292,146,7,6,0,0,301,23,1775
ACADEMIC ACADEMY,,,,,,,,,
19-003,147,7,0,0,0,0,20,1,175
ACADEMIC ACADEMY,,,,,,,,,
20-001,1258,48,0,0,0,0,130,18,1454
WINTERLING ELEM,,,,,,,,,
20-002,506,30,0,1,0,0,89,7,633
ACADEMIC ACADEMY,,,,,,,,,
20-003,1405,57,1,3,1,0,136,11,1614
,,,,,,,,,
20-004,177,6,0,0,1,0,16,2,202
,,,,,,,,,
20-005,804,30,2,1,0,0,101,3,941
,,,,,,,,,
20-006,2512,55,3,2,0,0,237,23,2832
,,,,,,,,,
20-007,1638,79,1,3,0,1,199,14,1935
ELEM,,,,,,,,,
20-008,499,32,2,1,0,1,84,3,622
ELEM,,,,,,,,,
20-009,411,68,2,3,0,0,106,9,599
,,,,,,,,,
20-010,338,44,0,0,0,0,71,5,458
,,,,,,,,,
20-011,934,115,6,5,0,0,196,18,1274
ELEM,,,,,,,,,
21-002,1053,99,4,5,0,0,245,15,1421
WASHINGTON ELEM,,,,,,,,,
22-001,817,179,2,2,0,0,220,10,1230
INC.,,,,,,,,,
25-001,2236,148,2,3,0,0,286,22,2697
,,,,,,,,,
25-002,1586,70,3,5,0,0,190,17,1871
,,,,,,,,,
25-017,250,44,0,0,0,0,74,3,371
ELEM/MID,,,,,,,,,
25-018,170,28,0,0,0,0,29,0,227
ELEM/MID,,,,,,,,,
26-012,400,44,1,0,0,0,59,4,508
,,,,,,,,,
26-019,1191,48,1,3,0,0,134,12,1389
HERRING RUN BRANCH,,,,,,,,,
26-020,610,29,0,0,0,1,86,9,735
,,,,,,,,,
27-014,1794,277,7,8,0,0,354,23,2463
ELEM/MID,,,,,,,,,
27-015,1614,124,1,5,1,0,207,13,1965
,,,,,,,,,
27-016,508,52,6,0,0,0,94,3,663
,,,,,,,,,
27-017,925,79,2,0,0,0,145,8,1159
,,,,,,,,,
27-018,1589,111,6,5,1,0,243,13,1968
,,,,,,,,,
27-019,616,24,1,0,0,0,76,2,719
,,,,,,,,,
27-021,1958,62,3,5,0,0,238,18,2284
,,,,,,,,,
