race,md_total,md_poverty,baltcounty_total,baltcounty_poverty,baltcity_total,baltcity_poverty,
white,"2,965,003","198,881","450,313","37,091","153,091","18,678",
black_aa,"1,742,057","251,905","245,011","27,410","153,091","91,384",
american_indian_alaska_native,"24,580","2,708","2,524",233,N/A,N/A,
asian,"404,392","35,467","51,716","3,995","13,231","2,916",
native_hawaiian_pacific_islander,N/A,N/A,N/A,N/A,N/A,N/A,
other,"401,618","72,507","23,611","3,757","20,572","7,148",
two_plus_races,"482,652","56,637","53,581","8,484","34,001","6,745",
hispanic_latino,"672,056","102,608","51,183","9,015","32,674","8,542",
white_nonhis,"2,898,334","191,526","443,308","36,042","149,621","17,887",
